plano_id;id;nome_plano;operadora;tipo_contrato;prazo_contrato;forma_pagamento;preco;carencia;nivel;permite_mescla_planos;tem_ortodontia;tem_clareamento;tem_protese_rol;tem_protese_estetica;tem_implante;cobertura
7;amil_kids;Dental K25 – Linha Kids;Amil;pf;12;Cartão de crédito sem pegar limite ou Boleto mensal;32.99;24h para urgência, 30 dias para consultas e diagnósticos, 90 dias para cirurgias, 120 dias para gengiva e canal, 180 dias para prótese e DTM;infantil;false;False;False;True;False;False;plano para crianças até 13 anos e 11 meses, urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação ortodôntica básica, Consultas com Dentistas especialistas em crianças
7;amil_kids;Dental K25 – Linha Kids;Amil;pf;12;Cartão de crédito (consome limite);32.89;24 horas para todos os procedimentos;infantil;false;False;False;True;False;False;plano para crianças até 13 anos e 11 meses, urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação ortodôntica básica, Consultas com Dentistas especialistas em crianças
7;amil_kids;Dental K25 – Linha Kids;Amil;pf;12;Boleto anual;394.68;24 horas para todos os procedimentos;infantil;false;False;False;True;False;False;plano para crianças até 13 anos e 11 meses, urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação ortodôntica básica, Consultas com Dentistas especialistas em crianças
8;amil_205;Dental 205 Empresarial;Amil;pj;24;Cartão de crédito;28.90;24h para todos os procedimentos, exceto próteses (carência de 180 dias);padrao;false;False;False;True;False;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação ortodôntica, documentação básica
8;amil_205;Dental 205 Empresarial;Amil;pj;24;Boleto mensal;28.90;24h para todos os procedimentos, exceto próteses (carência de 180 dias);padrao;false;False;False;True;False;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação ortodôntica, documentação básica
9;amil_e50;Dental E50 Clareamento Empresarial;Amil;pj;24;Boleto mensal;47.26;24h para todos os procedimentos, exceto clareamento e prótese (carência de 180 dias);estetico;false;False;True;True;False;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, prótese básica, documentação ortodôntica básica, clareamento, prótese de cerômero em todos os dentes
9;amil_e50;Dental E50 Clareamento Empresarial;Amil;pj;24;Cartão de crédito;47.26;24h para todos os procedimentos, exceto clareamento e prótese (carência de 180 dias);estetico;false;False;True;True;False;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, prótese básica, documentação ortodôntica básica, clareamento, prótese de cerômero em todos os dentes
10;amil_e60;Dental E60 Prótese Clínica Empresarial;Amil;pj;24;Boleto mensal;70.55;Conforme regras do plano (24h para a maioria, 180 dias para estética e prótese);estetico;false;False;True;True;True;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação ortodôntica básica, placa de bruxismo, dentadura, ponte móvel, clareamento
10;amil_e60;Dental E60 Prótese Clínica Empresarial;Amil;pj;24;Cartão de crédito;70.55;Conforme regras do plano (24h para a maioria, 180 dias para estética e prótese);estetico;false;False;True;True;True;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação ortodôntica básica, placa de bruxismo, dentadura, ponte móvel, clareamento
11;amil_e80;Dental E80 Ortodontia Empresarial;Amil;pj;24;Cartão de crédito;73.65;Conforme regras do plano (24h para a maioria, 90 dias para ortodontia, 180 dias para estética);estetico;false;True;True;True;False;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação para aparelho ortodôntico, instalação e manutenção de aparelho fixo metálico, clareamento
11;amil_e80;Dental E80 Ortodontia Empresarial;Amil;pj;24;Boleto mensal;73.65;Conforme regras do plano (24h para a maioria, 90 dias para ortodontia, 180 dias para estética);estetico;false;True;True;True;False;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação para aparelho ortodôntico, instalação e manutenção de aparelho fixo metálico, clareamento
12;amil_e90;Dental E90 Prótese Estética Empresarial;Amil;pj;24;Boleto mensal;83.50;Conforme regras do plano (24h para a maioria, 180 dias para estética e prótese);estetico;false;False;True;True;True;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, próteses especiais, documentação ortodôntica básica, placa de bruxismo, dentadura, ponte móvel, clareamento, próteses em resina e cerâmica, onlay, inlay
12;amil_e90;Dental E90 Prótese Estética Empresarial;Amil;pj;24;Cartão de crédito;83.50;Conforme regras do plano (24h para a maioria, 180 dias para estética e prótese);estetico;false;False;True;True;True;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, próteses especiais, documentação ortodôntica básica, placa de bruxismo, dentadura, ponte móvel, clareamento, próteses em resina e cerâmica, onlay, inlay
13;amil_e170;Dental E170 Prótese Estética com Ortodontia Empresarial;Amil;pj;24;Cartão de crédito;124.90;Conforme regras do plano (24h para a maioria, 90 dias para ortodontia, 180 dias para estética e prótese);estetico;false;True;True;True;True;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, próteses especiais, placa de bruxismo, dentadura, ponte móvel, clareamento, próteses em resina e cerâmica, onlay, inlay, documentação para aparelho ortodôntico, instalação e manutenção de aparelho fixo metálico
13;amil_e170;Dental E170 Prótese Estética com Ortodontia Empresarial;Amil;pj;24;Boleto mensal;124.90;Conforme regras do plano (24h para a maioria, 90 dias para ortodontia, 180 dias para estética e prótese);estetico;false;True;True;True;True;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, próteses especiais, placa de bruxismo, dentadura, ponte móvel, clareamento, próteses em resina e cerâmica, onlay, inlay, documentação para aparelho ortodôntico, instalação e manutenção de aparelho fixo metálico
